NOC,Gold,Silver,Bronze,Total,Year,Season
JPN,9,8,8,25,2008,S
KAZ,2,3,4,9,2008,S
KEN,6,4,6,16,2008,S
NED,7,5,4,16,2008,S
NZL,3,2,4,9,2008,S
NOR,3,5,1,9,2008,S
CHN,48,22,30,100,2008,S
POL,4,5,2,11,2008,S
KOR,13,11,8,32,2008,S
RUS,24,13,23,60,2008,S
ESP,5,11,3,19,2008,S
SWE,0,4,1,5,2008,S
SUI,2,1,4,7,2008,S
UKR,7,4,11,22,2008,S
USA,36,39,37,112,2008,S
CAN,14,7,5,26,2010,W
GER,10,13,7,30,2010,W
USA,9,15,13,37,2010,W
NOR,9,8,6,23,2010,W
KOR,6,6,2,14,2010,W
SUI,6,0,3,9,2010,W
CHN,5,2,4,11,2010,W
SWE,5,2,4,11,2010,W
AUT,4,6,6,16,2010,W
NED,4,1,3,8,2010,W
RUS,3,5,7,15,2010,W
FRA,2,3,6,11,2010,W
AUS,2,1,0,3,2010,W
CZE,2,0,4,6,2010,W
POL,1,3,2,6,2010,W
ITA,1,1,3,5,2010,W
BLR,1,1,1,3,2010,W
GBR,1,0,0,1,2010,W
JPN,0,3,2,5,2010,W
KAZ,0,1,0,1,2010,W
USA,48,26,30,104,2012,S
CHN,39,31,22,92,2012,S
GBR,29,18,18,65,2012,S
RUS,18,21,26,65,2012,S
KOR,13,9,9,31,2012,S
GER,11,20,13,44,2012,S
FRA,11,11,13,35,2012,S
AUS,8,15,12,35,2012,S
ITA,8,9,11,28,2012,S
HUN,8,4,6,18,2012,S
JPN,7,14,17,38,2012,S
NED,6,6,8,20,2012,S
NZL,6,2,5,13,2012,S
UKR,5,4,10,19,2012,S
CUB,5,3,7,15,2012,S
ESP,4,10,6,20,2012,S
JAM,4,5,4,13,2012,S
CZE,4,4,3,11,2012,S
BRA,3,5,9,17,2012,S
KAZ,3,2,6,11,2012,S
POL,3,2,6,11,2012,S
CAN,2,6,10,18,2012,S
BLR,2,5,3,10,2012,S
KEN,2,4,7,13,2012,S
DEN,2,4,3,9,2012,S
SUI,2,2,0,4,2012,S
NOR,2,1,1,4,2012,S
SWE,1,4,3,8,2012,S
RUS,11,9,9,29,2014,W
NOR,11,6,9,26,2014,W
CAN,10,10,5,25,2014,W
USA,9,9,10,28,2014,W
NED,8,7,9,24,2014,W
GER,8,6,5,19,2014,W
SUI,7,2,2,11,2014,W
BLR,5,0,1,6,2014,W
AUT,4,8,5,17,2014,W
FRA,4,4,7,15,2014,W
POL,4,1,1,6,2014,W
CHN,3,4,2,9,2014,W
KOR,3,3,2,8,2014,W
SWE,2,7,6,15,2014,W
CZE,2,4,3,9,2014,W
JPN,1,4,3,8,2014,W
GBR,1,1,3,5,2014,W
UKR,1,1,0,2,2014,W
ITA,0,2,7,9,2014,W
AUS,0,2,1,3,2014,W
KAZ,0,0,1,1,2014,W
USA,46,37,38,121,2016,S
GBR,27,23,17,67,2016,S
CHN,26,18,26,70,2016,S
RUS,19,17,20,56,2016,S
GER,17,10,15,42,2016,S
JPN,12,8,21,41,2016,S
FRA,10,18,14,42,2016,S
KOR,9,3,9,21,2016,S
ITA,8,12,8,28,2016,S
AUS,8,11,10,29,2016,S
NED,8,7,4,19,2016,S
HUN,8,3,4,15,2016,S
BRA,7,6,6,19,2016,S
ESP,7,4,6,17,2016,S
KEN,6,6,1,13,2016,S
JAM,6,3,2,11,2016,S
CUB,5,2,4,11,2016,S
NZL,4,9,5,18,2016,S
CAN,4,3,15,22,2016,S
SUI,3,2,2,7,2016,S
DEN,2,6,7,15,2016,S
SWE,2,6,3,11,2016,S
KAZ,2,5,10,17,2016,S
UKR,2,5,4,11,2016,S
POL,2,3,6,11,2016,S
BLR,1,4,4,9,2016,S
CZE,1,2,7,10,2016,S
NOR,0,0,4,4,2016,S
AUT,0,0,1,1,2016,S
NOR,14,14,11,39,2018,W
GER,14,10,7,31,2018,W
CAN,11,8,10,29,2018,W
USA,9,8,6,23,2018,W
NED,8,6,6,20,2018,W
SWE,7,6,1,14,2018,W
KOR,5,8,4,17,2018,W
SUI,5,6,4,15,2018,W
FRA,5,4,6,15,2018,W
AUT,5,3,6,14,2018,W
JPN,4,5,4,13,2018,W
ITA,3,2,5,10,2018,W
CZE,2,2,3,7,2018,W
BLR,2,1,0,3,2018,W
CHN,1,6,2,9,2018,W
GBR,1,0,4,5,2018,W
POL,1,0,1,2,2018,W
UKR,1,0,0,1,2018,W
HUN,1,0,0,1,2018,W
AUS,0,2,1,3,2018,W
NZL,0,0,2,2,2018,W
ESP,0,0,2,2,2018,W
KAZ,0,0,1,1,2018,W
USA,39,41,33,113,2020,S
CHN,38,32,19,89,2020,S
JPN,27,14,17,58,2020,S
GBR,22,20,22,64,2020,S
ROC,20,28,23,71,2020,S
AUS,17,7,22,46,2020,S
NED,10,12,14,36,2020,S
FRA,10,12,11,33,2020,S
GER,10,11,16,37,2020,S
ITA,10,10,20,40,2020,S
CAN,7,7,10,24,2020,S
BRA,7,6,8,21,2020,S
NZL,7,6,7,20,2020,S
CUB,7,3,5,15,2020,S
HUN,6,7,7,20,2020,S
KOR,6,4,10,20,2020,S
POL,4,5,5,14,2020,S
CZE,4,4,3,11,2020,S
KEN,4,4,2,10,2020,S
NOR,4,2,2,8,2020,S
JAM,4,1,4,9,2020,S
ESP,3,8,6,17,2020,S
SWE,3,6,0,9,2020,S
SUI,3,4,6,13,2020,S
DEN,3,4,4,11,2020,S
UKR,1,6,12,19,2020,S
BLR,1,3,3,7,2020,S
AUT,1,1,5,7,2020,S
KAZ,0,0,8,8,2020,S
NOR,16,8,13,37,2022,W
GER,12,10,5,27,2022,W
USA,8,10,7,25,2022,W
CHN,9,4,2,15,2022,W
SWE,8,5,5,18,2022,W
NED,8,5,4,17,2022,W
AUT,7,7,4,18,2022,W
SUI,7,2,6,15,2022,W
ROC,6,12,14,32,2022,W
FRA,5,7,2,14,2022,W
CAN,4,8,14,26,2022,W
JPN,3,6,9,18,2022,W
ITA,2,7,8,17,2022,W
KOR,2,5,2,9,2022,W
NZL,2,1,0,3,2022,W
AUS,1,2,1,4,2022,W
GBR,1,1,0,2,2022,W
HUN,1,0,2,3,2022,W
CZE,1,0,1,2,2022,W
BLR,0,2,0,2,2022,W
ESP,0,1,0,1,2022,W
UKR,0,1,0,1,2022,W
POL,0,0,1,1,2022,W
